Time resolution is 1 ps
in_group_idx= 312, di_en=1, do_en=1, out_group_idx= 946
in_group_idx= 313, di_en=1, do_en=1, out_group_idx= 114
in_group_idx= 314, di_en=1, do_en=1, out_group_idx= 626
in_group_idx= 315, di_en=1, do_en=1, out_group_idx= 370
in_group_idx= 316, di_en=1, do_en=1, out_group_idx= 882
in_group_idx= 317, di_en=1, do_en=1, out_group_idx= 242
in_group_idx= 318, di_en=1, do_en=1, out_group_idx= 754
in_group_idx= 319, di_en=1, do_en=1, out_group_idx= 498
in_group_idx= 320, di_en=1, do_en=1, out_group_idx=1010
in_group_idx= 321, di_en=1, do_en=1, out_group_idx=  10
in_group_idx= 322, di_en=1, do_en=1, out_group_idx= 522
in_group_idx= 323, di_en=1, do_en=1, out_group_idx= 266
in_group_idx= 324, di_en=1, do_en=1, out_group_idx= 778
in_group_idx= 325, di_en=1, do_en=1, out_group_idx= 138
in_group_idx= 326, di_en=1, do_en=1, out_group_idx= 650
in_group_idx= 327, di_en=1, do_en=1, out_group_idx= 394
in_group_idx= 328, di_en=1, do_en=1, out_group_idx= 906
in_group_idx= 329, di_en=1, do_en=1, out_group_idx=  74
in_group_idx= 330, di_en=1, do_en=1, out_group_idx= 586
in_group_idx= 331, di_en=1, do_en=1, out_group_idx= 330
in_group_idx= 332, di_en=1, do_en=1, out_group_idx= 842
in_group_idx= 333, di_en=1, do_en=1, out_group_idx= 202
in_group_idx= 334, di_en=1, do_en=1, out_group_idx= 714
in_group_idx= 335, di_en=1, do_en=1, out_group_idx= 458
in_group_idx= 336, di_en=1, do_en=1, out_group_idx= 970
in_group_idx= 337, di_en=1, do_en=1, out_group_idx=  42
in_group_idx= 338, di_en=1, do_en=1, out_group_idx= 554
in_group_idx= 339, di_en=1, do_en=1, out_group_idx= 298
in_group_idx= 340, di_en=1, do_en=1, out_group_idx= 810
in_group_idx= 341, di_en=1, do_en=1, out_group_idx= 170
in_group_idx= 342, di_en=1, do_en=1, out_group_idx= 682
in_group_idx= 343, di_en=1, do_en=1, out_group_idx= 426
in_group_idx= 344, di_en=1, do_en=1, out_group_idx= 938
in_group_idx= 345, di_en=1, do_en=1, out_group_idx= 106
in_group_idx= 346, di_en=1, do_en=1, out_group_idx= 618
in_group_idx= 347, di_en=1, do_en=1, out_group_idx= 362
in_group_idx= 348, di_en=1, do_en=1, out_group_idx= 874
in_group_idx= 349, di_en=1, do_en=1, out_group_idx= 234
in_group_idx= 350, di_en=1, do_en=1, out_group_idx= 746
in_group_idx= 351, di_en=1, do_en=1, out_group_idx= 490
in_group_idx= 352, di_en=1, do_en=1, out_group_idx=1002
in_group_idx= 353, di_en=1, do_en=1, out_group_idx=  26
in_group_idx= 354, di_en=1, do_en=1, out_group_idx= 538
in_group_idx= 355, di_en=1, do_en=1, out_group_idx= 282
in_group_idx= 356, di_en=1, do_en=1, out_group_idx= 794
in_group_idx= 357, di_en=1, do_en=1, out_group_idx= 154
in_group_idx= 358, di_en=1, do_en=1, out_group_idx= 666
in_group_idx= 359, di_en=1, do_en=1, out_group_idx= 410
